Zone	Fiscal Year	Total_recycle_vs_Total_waste	Total_capture_rate
Bronx	2008	56.740229008392184	389.46767849042
Bronx	2009	57.429472715400266	401.9073118904358
Bronx	2010	56.86510064042265	393.8124213279695
Bronx	2011	57.0392009930565	398.9880177520424
Bronx	2012	57.18643432890091	401.92346273132915
Bronx	2013	57.652234512740506	408.463700852713
Bronx	2014	58.22069893195568	414.71538654284944
Bronx	2015	58.45637613715197	415.2462758998911
Bronx	2016	57.7412417331294	397.99312285557266
Bronx	2017	57.724220629819506	395.7872723299586
Bronx	2018	57.94785960268408	393.87929614928134
Bronx	2019	58.72530164744356	400.13255366629096
Brooklyn North	2008	60.006012598634385	411.87910736736194
Brooklyn North	2009	60.96281988789971	427.0855105450748
Brooklyn North	2010	60.27507255674651	417.7208379134678
Brooklyn North	2011	60.4449773652006	420.615774170835
Brooklyn North	2012	60.17057876689219	415.1636148985129
Brooklyn North	2013	60.27072598304875	415.82757311419687
Brooklyn North	2014	60.03998887794874	410.2148542601663
Brooklyn North	2015	60.241665466184884	410.920919812956
Brooklyn North	2016	59.59084255442676	397.50158655204586
Brooklyn North	2017	59.70919281083302	396.0949147274164
Brooklyn North	2018	59.4686378936539	389.4660168713027
Brooklyn North	2019	60.47808694284471	393.74436401178707
Brooklyn South	2008	70.22155454041102	572.401265314148
Brooklyn South	2009	70.71335110844099	590.8881577990034
Brooklyn South	2010	70.1799522118412	585.1961092186309
Brooklyn South	2011	70.73020955406444	601.7886072381045
Brooklyn South	2012	70.87876177451359	608.8898469763518
Brooklyn South	2013	70.18524914994714	592.5934649984717
Brooklyn South	2014	70.42180257148387	591.2551678239428
Brooklyn South	2015	70.58307351682242	589.4275735346132
Brooklyn South	2016	70.11274842829094	570.9153954670268
Brooklyn South	2017	70.3997291854531	573.7651036545041
Brooklyn South	2018	70.5877823036363	572.433050643586
Brooklyn South	2019	70.69995312821858	578.1971668313117
Manhattan	2008	70.6697745947609	489.2640719933375
Manhattan	2009	71.72387536672868	515.3685313191636
Manhattan	2010	71.49674936164928	511.9323097223561
Manhattan	2011	71.80536793131284	521.7955002602047
Manhattan	2012	71.96772681200108	532.2810005833529
Manhattan	2013	72.04378319517629	528.9041054749187
Manhattan	2014	70.63082024161874	497.3703186413025
Manhattan	2015	71.11363242986943	502.5236066120725
Manhattan	2016	70.85509403790766	491.4559298394677
Manhattan	2017	71.20675670988534	497.4114349248735
Manhattan	2018	71.30348313290284	498.3124250927241
Manhattan	2019	71.11883577787596	494.997123771483
Queens East	2008	67.76282481267741	514.74192975065
Queens East	2009	68.61494680296448	542.1833557183958
Queens East	2010	67.98670651746627	535.1531142764064
Queens East	2011	68.71737542276303	556.0222225193576
Queens East	2012	68.59322436195278	555.2774012914435
Queens East	2013	68.19948863472855	548.6904721938873
Queens East	2014	68.73764212638066	556.4748167029276
Queens East	2015	68.82853606377564	559.8328654738697
Queens East	2016	68.39350308313644	541.4017225628683
Queens East	2017	68.78382921535604	540.5617244032528
Queens East	2018	69.55174810426803	550.1720498501429
Queens East	2019	69.49171010528136	546.0187220827909
Queens West	2008	69.99757016893975	548.5449822444365
Queens West	2009	70.60980127462241	569.1382280838238
Queens West	2010	70.08886397139176	562.0308459399939
Queens West	2011	70.65566838119791	578.3400407885563
Queens West	2012	70.58979117534327	576.7059870270971
Queens West	2013	70.73416601580406	577.3549217632449
Queens West	2014	70.60208392698526	572.4483437849631
Queens West	2015	70.73243607747543	571.7547220822273
Queens West	2016	70.2195281131045	552.0364997688749
Queens West	2017	70.5874863538581	553.5471438393224
Queens West	2018	70.78954855878821	554.0237837202067
Queens West	2019	71.05316591077316	558.857589094583
Staten Island	2008	71.01742540782627	570.6655926150329
Staten Island	2009	71.98888137466328	613.3746836480615
Staten Island	2010	71.62720420644142	610.4302645408707
Staten Island	2011	72.95093472783486	649.2740970496261
Staten Island	2012	72.50250052755264	641.6977118675329
Staten Island	2013	72.73797655483858	645.4295463790756
Staten Island	2014	73.50624590553778	656.2509848573266
Staten Island	2015	73.77962443024961	668.9412139433806
Staten Island	2016	73.25795973710704	648.8508297545918
Staten Island	2017	73.46328852604927	647.4708027664109
Staten Island	2018	73.53165519715813	646.2198721010933
Staten Island	2019	73.31790581843273	651.2102546308657
